time,StackSideLevelcm
1510276200,14.8
1510276500,19.3
1510276800,21.5
1510277100,26.6
1510277400,29.5
1510278180,38.5
1510278600,42.8
1510278900,47.4
1510279200,52.3
1510279500,58.3
1510279980,67.7
1510280400,76.2
1510280820,84
1510281060,84.3
1510322400,79.9
1510325040,79.5
1510330140,118.6
1510332360,105.7
1510334280,104.5
1510338420,101.8
1510342380,100.5
1510344360,99.7
1510347360,98.8
1510351980,98.2
1510354260,98.3
1510358220,98.3
1510360740,98.3
1510362540,98.3
1510366380,97.7
1510368720,97.3
1510409040,91.5
1510412520,89.1
1510416120,87.5
1510420260,87
1510421760,86.7
1510423800,86.3
1510426680,86
1510431300,85.5
1510432680,85.4
1510436940,85
1510439460,84.2
1510442040,83.7
1510445640,83.2
1510446900,82.6
1510447980,82
1510449000,81.7
1510450080,81.3
1510453020,80.8
1510453860,80.3
1510454760,80.1
1510456860,79.6
1510458240,79.6
1510460820,79.5
1510463160,79.3
1510468260,78.5
1510469940,78.3
1510473600,77.8
1510476780,77.3
1510480020,76.9
1510483440,76.1
1510486500,75.7
1510489800,75.1
1510493460,74.6
1510497180,74.1
1510499880,73.5
1510502580,73
1510505040,72.7
1510510200,112.8
1510511340,106.6
1510514880,103.9
1510518060,115.3
1510519140,110.4
1510521540,110.4
1510524720,111
1510525620,111.1
1510526640,110.5
1510527240,109.7
1510527900,109.7
1510528680,108.1
1510529940,107.4
1510530420,107
1510530900,104.8
1510533300,103.8
1510537320,101.6
1510539000,100.7
1510540200,100.3
1510542120,99.2
1510543980,98.8
1510545840,98.8
1510546860,98.7
1510552800,98.8
1510556040,98.7
1510557840,98.6
1510558200,98.4
1510559460,98.1
1510562460,97.6
1510566060,96.9
1510569480,96.4
1510572600,95.4
1510576200,94.8
1510579320,94.3
1510581240,94
1510582680,93.8
1510584000,93.5
1510584360,93.4
1510586520,93.2
1510588920,92.7
1510592700,92.1
1510596120,91.6
1510600260,91
1510601820,90.7
1510605000,90.2
1510605300,90
1510607820,89.5
1510612860,88.6
1510613700,88.4
1510615140,88.3
1510617780,87.8
1510620240,87.3
1510623480,86.7
1510624380,86.5
1510626480,86.2
1510629480,85.8
1510631280,85.5
1510632120,85.4
1510636020,84.6
1510637820,84.4
1510642020,83.6
1510644600,83.3
1510648200,82.7
1510651980,81.8
1510654680,81.5
1510657920,81
1510661940,80.3
1510663500,80
1510664400,79.8
1510667160,79.3
1510668000,79.2
1510671660,78.5
1510675260,78
1510677780,77.7
1510679100,77.5
1510681140,77.2
1510686000,76.1
1510689060,75.1
1510692060,74.7
1510692240,74.7
1510693200,74.7
1510696800,74.6
1510697460,74.5
1510698060,74.4
1510698660,74.5
1510698780,74.4
1510700400,74.3
1510702200,74.1
1510704360,74.1
1510706220,74
1510709520,73.9
1510711320,73.7
1510713000,73.6
1510714800,73.5
1510718400,73.3
1510720200,73.2
1510722000,73.1
1510724280,72.9
1510725600,72.8
1510729200,72.5
1510730460,72.4
1510734420,72.1
1510737420,71.7
1510740960,71.4
1510744260,71.1
1510748640,70.5
1510751700,70.2
1510754520,69.8
1510758780,69.3
1510760760,69.1
1510765200,68.4
1510768440,67.9
1510769040,67.8
1510772400,67.4
1510773360,67.3
1510776120,66.9
1510776480,66.8
1510780200,65.9
1510781220,65.7
1510785900,65
1510787400,64.7
1510788780,64.5
1510791660,64.1
1510794180,63.7
1510797120,63.1
1510800480,62.6
1510801260,62.5
1510804080,62.2
1510806720,62.1
1510808640,62
1510810440,61.8
1510812180,61.7
1510814160,61.5
1510815660,61.3
1510819560,60.6
1510823460,60.1
1510826760,59.7
1510831320,59.1
1510836300,58.5
1510840800,57.9
1510843800,57.7
1510855200,68.3
1510857300,68.8
1510861140,68.6
1510861800,68.6
1510868280,68.2
1510869660,68.1
1510872420,67.9
1510876440,67.5
1510883640,66.7
1510888560,65.9
1510891200,65.6
1510895100,65.1
1510897380,65
1510903020,64.1
1510907940,63.3
1510912020,62.7
1510915020,62.4
1510920660,61.7
1510923660,61.1
1510928100,60.5
1510931880,60
1510935480,59.4
1510941780,58.6
1510950180,57.5
1510953960,57.1
1510957440,56.7
1510960980,56.2
1510969620,55.1
1510979460,54.1
1510982760,53.7
1510988400,52.9
1510992120,52.5
1510995660,52.3
1510999020,51.8
1511002920,51.5
1511006400,51.2
1511011020,50.5
1511015160,50
1511018220,49.7
1511022480,49.4
1511030520,48.8
1511034660,48.1
1511038260,47.7
1511043060,47.2
1511071200,44.7
1511079540,43.8
1511084100,43.3
1511086740,43.1
1511091300,42.4
1511096880,41.9
1511101560,41.6
1511106660,41.1
1511112120,40.4
1511116680,39.8
1511123160,39.2
1511131320,38.4
1511135760,38.1
1511140320,37.5
1511147700,36.5
1511157600,35.3
1511162340,34.7
1511170020,33.9
1511178780,33.1
1511182980,32.7
1511188920,31.7
1511197680,31
